,Brand,Model,Ram,Rom,Processor,Price Category,Processor Type,Rom Type,Price  (₹)
47,Dell,Vostro 3510 Laptop,8GB,256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,39989
48,Dell,Vostro 3510 Laptop,8GB,256GB SSD,Intel Pentium Gold,Budget Laptop,Intel,Solid State Drive,34990
49,Dell,XPS 17 Laptop,32GB,1TB SSD,12th Gen Intel Core i9,High End Laptop,Intel,Solid State Drive,329990
50,Dell,G15 Gaming Laptop,8GB,512GB SSD,AMD Ryzen 5,High End Laptop,AMD,Solid State Drive,70990
51,Dell,Inspiron 14 Laptop,8GB,512GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,48489
52,Dell,Inspiron 15 Laptop,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,66990
53,Dell,Inspiron 14 Laptop,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,64989
54,Dell,Inspiron 14 Laptop,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,56990
55,Dell,Inspiron 14 Laptop,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,60989
56,Dell,New Inspiron 14 Laptop,8GB,512GB SSD,12th Gen Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,51989
57,Dell,Inspiron 15 3000 laptop,8GB,512GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,44489
58,Dell,Inspiron 15 3000 Laptop,8GB,256GB SSD,AMD Athlon,Budget Laptop,AMD,Solid State Drive,33490
59,Dell,Inspiron 15 3000 Laptop,8GB,256GB SSD,Intel Pentium,Budget Laptop,Intel,Solid State Drive,34589
